Treatment,Pop,GH.area,Mat.area,Dam,Plant_ID,SM_g,GR,FT,DTF,CW,ASD_S,ASD_L,ASD,SM.s,GR.s,CW.s,ASD.s,ORQFT,Index
Sel,ELLR,DA,A2,406,406-3,0.027,0.5,278,182,35.61,-0.6,2.19,1.395,-1.172117178,-0.142053955,0.424534952,-0.624231543,1.118265916,-0.251228211
Sel,ELLR,DA,A2,406,406-4,0.034,0.5,276,180,41.8,-1.14,1.21,1.175,0.048297722,-0.142053955,1.882965846,-1.175545914,1.073365495,1.079149848
Sel,ELLR,DA,A2,406,406-5,0.034,0.5,255,159,35.27,0,3.59,1.795,0.048297722,-0.142053955,0.344427277,0.378158223,0.453144702,-0.25213248
Sel,ELLR,DA,A2,406,406-6,0.035,0.4,278,182,40.05,-1.03,2.7,1.865,0.222642708,-0.86899194,1.470646934,0.553576433,1.118265916,0.14213509
Sel,ELLR,DA,A2,406,406-7,0.034,0.6,277,181,38.22,-1.51,0.95,1.23,0.048297722,0.58488403,1.039479157,-1.037717321,1.094471489,0.359496359
Sel,ELLR,DA,A2,406,406-8,0.026,0.5,266,170,31.26,0,2.62,1.31,-1.346462164,-0.142053955,-0.600372058,-0.837239368,0.798764866,-0.324666661
Sel,ELLR,DA,A2,406,406-9,0.034,0.3,286,190,40.15,-0.58,2.25,1.415,0.048297722,-1.595929925,1.494208014,-0.574112054,1.419250753,1.188371086
Sel,ELLR,DA,A2,407,407-1,0.03,0.5,271,175,27.13,-1.12,4.01,2.565,-0.649082221,-0.142053955,-1.57344469,2.307758523,0.964927376,-2.661527586
Sel,ELLR,DA,A2,407,407-10,0.035,0.4,278,182,42.63,-0.26,3.57,1.915,0.222642708,-0.86899194,2.078522815,0.678875153,1.118265916,0.209181934
Sel,ELLR,DA,A2,407,407-2,0.031,0.7,281,185,39.54,-0.46,2.48,1.47,-0.474737235,1.311822015,1.350485422,-0.436283462,1.209461151,-0.657506641
Sel,ELLR,DA,A2,407,407-3,0.034,0.8,280,184,39.1,-0.26,2.8,1.53,0.048297722,2.03876,1.246816667,-0.285924997,1.181892195,-0.950156569
Sel,ELLR,DA,A2,407,407-4,0.032,0.5,279,183,39.7,-0.49,2.84,1.665,-0.30039225,-0.142053955,1.388183151,0.052381549,1.146097537,-0.133079296
Sel,ELLR,DA,A2,407,407-5,0.032,0.7,271,175,36.13,0,4.29,2.145,-0.30039225,1.311822015,0.547052571,1.255249269,0.964927376,-1.955826304
Sel,ELLR,DA,A2,407,407-6,0.023,0.4,280,184,34.91,-1.53,1.24,1.385,-1.869497121,-0.86899194,0.259607387,-0.649291287,1.181892195,-0.209319497
Sel,ELLR,DA,A2,407,407-7,0.032,0.5,277,181,35.62,0,3.04,1.52,-0.30039225,-0.142053955,0.42689106,-0.310984741,1.094471489,-0.098809788
Sel,ELLR,DA,A2,407,407-8,0.031,0.7,278,182,38.48,-0.57,1.92,1.245,-0.474737235,1.311822015,1.100737967,-1.000127705,1.118265916,-0.274398325
Sel,ELLR,DA,A2,407,407-9,0.032,0.4,265,169,39.8,-1.48,2.9,2.19,-0.30039225,-0.86899194,1.411744232,1.368018118,0.765320892,-0.574408577
Sel,PENN,DA,A1,111,111-10,0.036,0.8,261,165,33.4,-2.59,1.22,1.905,0.396987693,2.03876,-0.096164931,0.653815409,0.604329334,-1.642007659
Sel,PENN,DA,A1,111,111-6,0.035,0.5,262,166,36.34,-2.23,1.53,1.88,0.222642708,-0.142053955,0.596530841,0.591166049,0.636321107,-0.333234242
Sel,PENN,DA,A1,111,111-7,0.036,0.6,272,176,40.71,-2.05,2.83,2.44,0.396987693,0.58488403,1.626150066,1.994511721,1.001057002,-1.542522449
Sel,PENN,DA,A1,111,111-8,0.039,0.7,255,159,32.8,0,3.39,1.695,0.920022651,1.311822015,-0.237531415,0.127560782,0.453144702,-0.623157143
Sel,PENN,DA,A1,111,111-9,0.036,0.6,265,169,39.45,-0.74,2.72,1.73,0.396987693,0.58488403,1.32928045,0.215269886,0.765320892,-0.223101158
Sel,PENN,DA,A2,112,112-1,0.033,0.7,266,170,22.18,-2.52,0.92,1.72,-0.126047264,1.311822015,-2.739718183,0.190210142,0.798764866,-1.898348444
Sel,PENN,DA,A2,112,112-10,0.035,0.7,262,166,40.63,-2.85,0.7,1.775,0.222642708,1.311822015,1.607301202,0.328038735,0.636321107,-0.651582846
Sel,PENN,DA,A2,112,112-2,0.03,0.3,263,167,33.99,-0.85,2.46,1.655,-0.649082221,-1.595929925,0.042845445,0.027321805,0.677068979,0.326624379
Sel,PENN,DA,A2,112,112-3,0.034,0.2,272,176,32.24,-0.33,4.38,2.355,0.048297722,-2.32286791,-0.369473467,1.781503896,1.001057002,-0.503017535
Sel,PENN,DA,A2,112,112-4,0.033,0.7,277,181,39.06,-2.16,1.76,1.96,-0.126047264,1.311822015,1.237392235,0.791644002,1.094471489,-1.40326985
Sel,PENN,DA,A2,112,112-5,0.034,0.8,259,163,35.5,-0.5,3.48,1.99,0.048297722,2.03876,0.398617763,0.866823234,0.557120625,-1.802545857
Sel,PENN,DA,A2,112,112-6,0.033,0.5,272,176,39.62,-1.32,3.9,2.61,-0.126047264,-0.142053955,1.369334287,2.420527372,1.001057002,-1.760322456
Sel,PENN,DA,A2,112,112-7,0.034,0.7,261,165,26.55,-1.09,2,1.545,0.048297722,1.311822015,-1.710098957,-0.24833538,0.604329334,-1.160399632
Sel,PENN,DA,A2,112,112-8,0.034,0.7,244,148,31.74,-2.14,0,1.07,0.048297722,1.311822015,-0.48727887,-1.438673228,0.155455377,0.198640872
Sel,PENN,DA,A2,112,112-9,0.031,0.7,274,178,40.76,-0.92,3,1.96,-0.474737235,1.311822015,1.637930607,0.791644002,1.04560878,-1.430675939
Sel,PENN,DA,A2,113,113-1,0.035,0.5,249,153,37.13,-1.35,2.56,1.955,0.222642708,-0.142053955,0.782663378,0.77911413,0.29145076,-0.300914951
Sel,PENN,DA,A2,113,113-10,0.03,0.7,258,162,34.79,-1.06,2.6,1.83,-0.649082221,1.311822015,0.23133409,0.465867328,0.53533348,-1.453418842
Sel,PENN,DA,A2,113,113-2,0.031,0.5,265,169,39.44,-1.31,2.28,1.795,-0.474737235,-0.142053955,1.326924342,0.378158223,0.765320892,-0.329679243
Sel,PENN,DA,A2,113,113-3,0.03,0.7,252,156,34.9,-1.65,2.2,1.925,-0.649082221,1.311822015,0.257251279,0.703934897,0.380839409,-1.567643772
Sel,PENN,DA,A2,113,113-4,0.029,0.5,270,174,37.38,-1.29,3.05,2.17,-0.823427207,-0.142053955,0.84156608,1.317898629,0.935451918,-1.361160521
Sel,PENN,DA,A2,113,113-5,0.034,0.5,260,164,39.84,-2.02,0.48,1.25,0.048297722,-0.142053955,1.421168664,-0.987597833,0.579869229,0.994068505
Sel,PENN,DA,A2,113,113-6,0.033,0.6,264,168,33.31,-1.33,1.49,1.41,-0.126047264,0.58488403,-0.117369904,-0.586641927,0.722776022,-0.220435457
Sel,PENN,DA,A2,113,113-7,0.029,0.7,265,169,39.58,-1.62,2.17,1.895,-0.823427207,1.311822015,1.359909855,0.628755665,0.765320892,-1.433897678
Sel,PENN,DA,A2,113,113-8,0.032,0.8,255,159,34.13,-0.25,2.97,1.61,-0.30039225,2.03876,0.075830958,-0.085447043,0.453144702,-1.297133382
Sel,PENN,DA,A2,113,113-9,0.031,0.7,274,178,39.43,-0.65,3.85,2.25,-0.474737235,1.311822015,1.324568234,1.518376583,1.04560878,-2.049552899
Sel,PENN,DA,A2,114,114-1,0.046,0.6,278,182,45.3,-0.68,3.25,1.965,2.140437551,0.58488403,2.707603669,0.804173874,1.118265916,0.328094274
Sel,PENN,DA,A2,114,114-10,0.033,0.6,258,162,39.39,-0.42,3.82,2.12,-0.126047264,0.58488403,1.315143801,1.192599909,0.53533348,-1.09175319
Sel,PENN,DA,A2,114,114-2,0.046,0.8,276,180,37.61,-0.86,1.81,1.335,2.140437551,2.03876,0.895756565,-0.774590008,1.073365495,0.256189721
Sel,PENN,DA,A2,114,114-3,0.041,0.9,258,162,37.87,-0.31,3.61,1.96,1.268712622,2.765697985,0.957015375,0.791644002,0.53533348,-1.457181809
Sel,PENN,DA,A2,114,114-4,0.036,0.5,272,176,29.63,-1.6,2.9,2.25,0.396987693,-0.142053955,-0.984417673,1.518376583,1.001057002,-1.487233778
Sel,PENN,DA,A2,114,114-5,0.047,0.5,260,164,42.29,-1.13,2.29,1.71,2.314782536,-0.142053955,1.998415141,0.165150398,0.579869229,1.268541585
Sel,PENN,DA,A2,114,114-6,0.036,0.5,270,174,40.12,0,4.35,2.175,0.396987693,-0.142053955,1.48713969,1.330428501,0.935451918,-0.676415182
Sel,PENN,DA,A2,114,114-7,0.036,0.7,263,167,37.72,-2.94,0.22,1.58,0.396987693,1.311822015,0.921673754,-0.160626276,0.677068979,-0.410239541
Sel,PENN,DA,A2,114,114-8,0.048,0.6,255,159,29.09,-0.25,2.3,1.275,2.489127522,0.58488403,-1.111647508,-0.924948473,0.453144702,0.987946006
Sel,PENN,DA,A2,114,114-9,0.041,0.6,253,157,32.29,-1.79,0.92,1.355,1.268712622,0.58488403,-0.357692927,-0.724470519,0.403005315,0.5310639
Sel,MARY,DB,A3,218,218-10,0.039,0.7,161,65,37.71,-1.27,1.73,1.5,0.920022651,1.311822015,0.919317646,-0.361104229,-0.943658984,0.536447373
Sel,MARY,DB,A3,218,218-6,0.033,0.6,161,65,37.44,-1.52,1.21,1.365,-0.126047264,0.58488403,0.855702728,-0.699410775,-0.943658984,0.708937678
Sel,MARY,DB,A3,218,218-7,0.036,0.6,171,75,31.04,-1.59,0,0.795,0.396987693,0.58488403,-0.652206435,-2.127816192,-0.619179906,1.477633892
Sel,MARY,DB,A3,218,218-8,0.031,0.7,163,67,43.29,-1.82,1.18,1.5,-0.474737235,1.311822015,2.234025948,-0.361104229,-0.785920783,0.22617971
